Year,percentile,score,subject
2024,10,219.338998413086,math
2024,25,244.673500823975,math
2024,50,273.654997253418,math
2024,75,302.988499450684,math
2024,90,328.276998901367,math
2022,10,224.337500762939,math
2022,25,247.235000610352,math
2022,50,273.81199798584,math
2022,75,300.789999389649,math
2022,90,324.93800201416,math
2019,10,230.776998901367,math
2019,25,254.816000366211,math
2019,50,282.101998901367,math
2019,75,309.454998779297,math
2019,90,333.275498962403,math
2017,10,233.103000640869,math
2017,25,256.10950012207,math
2017,50,282.708999633789,math
2017,75,309.685998535157,math
2017,90,332.946499633789,math
2015,10,234.578499603272,math
2015,25,257.707502746582,math
2015,50,282.871998596191,math
2015,75,307.699501037598,math
2015,90,329.000997924805,math
2013,10,237.404000091553,math
2013,25,260.778503417969,math
2013,50,285.596000671387,math
2013,75,309.709002685547,math
2013,90,330.614999389649,math
2011,10,236.882000732422,math
2011,25,260.075994873047,math
2011,50,284.915997314453,math
2011,75,308.835992431641,math
2011,90,329.438006591797,math
2009,10,235.807995605469,math
2009,25,259.24599609375,math
2009,50,284.106005859375,math
2009,75,308.159991455078,math
2009,90,328.644000244141,math
2007,10,234.666000366211,math
2007,25,257.855993652344,math
2007,50,282.611999511719,math
2007,75,306.326000976563,math
2007,90,326.603997802734,math
2005,10,231.47799987793,math
2005,25,255.379998779297,math
2005,50,280.218005371094,math
2005,75,303.89800415039,math
2005,90,324.297998046875,math
2003,10,229.919998168945,math
2003,25,254.145999145508,math
2003,50,279.303997802735,math
2003,75,302.876000976562,math
2003,90,322.6419921875,math
2000,10,223.183999633789,math
2000,25,248.5,math
2000,50,275.086004638672,math
2000,75,299.730004882813,math
2000,90,320.30199584961,math
1996,10,221.021997070312,math
1996,25,245.445999145508,math
1996,50,272.785992431641,math
1996,75,297.217999267578,math
1996,90,316.361993408203,math
2024,10,158.333000183105,reading
2024,25,188.66549987793,reading
2024,50,219.023501586914,reading
2024,75,244.544499206543,reading
2024,90,264.765495300293,reading
2022,10,162.241999053955,reading
2022,25,191.762000274658,reading
2022,50,221.583999633789,reading
2022,75,246.30550079345701,reading
2022,90,265.815002441406,reading
2019,10,168.299001312256,reading
2019,25,196.978498840332,reading
2019,50,224.634999084473,reading
2019,75,247.704000854492,reading
2019,90,266.070997619629,reading
2017,10,170.879000091553,reading
2017,25,198.834999847412,reading
2017,50,225.954501342773,reading
2017,75,248.619499969482,reading
2017,90,266.704997253418,reading
2015,10,173.923500061035,reading
2015,25,200.739497375488,reading
2015,50,226.138501739502,reading
2015,75,247.992499542236,reading
2015,90,266.018502807617,reading
2013,10,173.527501678467,reading
2013,25,200.235998535156,reading
2013,50,225.386501312256,reading
2013,75,247.179499816895,reading
2013,90,265.330998229981,reading
2011,10,174.362002563477,reading
2011,25,199.552001953125,reading
2011,50,224.154000854492,reading
2011,75,245.987997436523,reading
2011,90,264.275994873047,reading
2009,10,174.811999511719,reading
2009,25,199.199996948242,reading
2009,50,223.472003173828,reading
2009,75,245.412002563477,reading
2009,90,263.847998046875,reading
2007,10,174.317999267578,reading
2007,25,199.292001342774,reading
2007,50,223.561999511719,reading
2007,75,245.544000244141,reading
2007,90,264.116003417969,reading
2005,10,170.843997192383,reading
2005,25,195.82200012207,reading
2005,50,221.454000854492,reading
2005,75,244.324005126953,reading
2005,90,263.249993896485,reading
2003,10,168.638000488281,reading
2003,25,194.655996704101,reading
2003,50,220.973999023438,reading
2003,75,244.421997070313,reading
2003,90,263.560009765625,reading
2002,10,170.401998901367,reading
2002,25,195.589996337891,reading
2002,50,221.296002197266,reading
2002,75,244.133999633789,reading
2002,90,262.582000732422,reading
2000,10,159.494000244141,reading
2000,25,189.148004150391,reading
2000,50,217.503997802734,reading
2000,75,242.649996948242,reading
2000,90,261.819995117188,reading
1998,10,162.804000854492,reading
1998,25,190.597998046875,reading
1998,50,217.45,reading
1998,75,242.437997436524,reading
1998,90,262.131994628906,reading
