Year,percentile,score
2024,10,219.338998413086
2024,25,244.673500823975
2024,50,273.654997253418
2024,75,302.988499450684
2024,90,328.276998901367
2022,10,224.337500762939
2022,25,247.235000610352
2022,50,273.81199798584
2022,75,300.789999389649
2022,90,324.93800201416
2019,10,230.776998901367
2019,25,254.816000366211
2019,50,282.101998901367
2019,75,309.454998779297
2019,90,333.275498962403
2017,10,233.103000640869
2017,25,256.10950012207
2017,50,282.708999633789
2017,75,309.685998535157
2017,90,332.946499633789
2015,10,234.578499603272
2015,25,257.707502746582
2015,50,282.871998596191
2015,75,307.699501037598
2015,90,329.000997924805
2013,10,237.404000091553
2013,25,260.778503417969
2013,50,285.596000671387
2013,75,309.709002685547
2013,90,330.614999389649
2011,10,236.882000732422
2011,25,260.075994873047
2011,50,284.915997314453
2011,75,308.835992431641
2011,90,329.438006591797
2009,10,235.807995605469
2009,25,259.24599609375
2009,50,284.106005859375
2009,75,308.159991455078
2009,90,328.644000244141
2007,10,234.666000366211
2007,25,257.855993652344
2007,50,282.611999511719
2007,75,306.326000976563
2007,90,326.603997802734
2005,10,231.47799987793
2005,25,255.379998779297
2005,50,280.218005371094
2005,75,303.89800415039
2005,90,324.297998046875
2003,10,229.919998168945
2003,25,254.145999145508
2003,50,279.303997802735
2003,75,302.876000976562
2003,90,322.6419921875
2000,10,223.183999633789
2000,25,248.5
2000,50,275.086004638672
2000,75,299.730004882813
2000,90,320.30199584961
2000,10,226.745999145508
2000,25,251.548001098633
2000,50,277.476000976562
2000,75,301.367999267578
2000,90,321.294000244141
1996,10,221.021997070312
1996,25,245.445999145508
1996,50,272.785992431641
1996,75,297.217999267578
1996,90,316.361993408203
1996,10,224.011996459961
1996,25,248.404000854492
1996,50,273.407995605469
1996,75,297.613995361328
1996,90,317.491998291016
1992,10,220.657998657227
1992,25,243.274002075195
1992,50,269.277996826172
1992,75,294.426000976563
1992,90,314.796002197266
1990,10,214.963998413086
1990,25,238.695999145508
1990,50,263.622009277344
1990,75,288.009997558594
1990,90,307.1
